account_id,pagerank,in_degree,out_degree,kyc_completeness,account_age_days,prior_fraud_flag,is_cashout
ACC-BB7ABF97C6,0.0003825640847510423,2,1,0.94,355,0,0
ACC-9348003ED1,0.0010599371850548676,5,5,0.98,2707,0,0
ACC-0E0C1E2E4E,0.000519906473151442,2,4,0.98,1738,0,0
ACC-19A3798E9A,0.000452621890459671,2,3,1.0,1281,0,0
ACC-881DE7EA23,0.001501864913274663,5,1,0.77,1854,0,0
ACC-8F71C06043,0.0012309203377776643,3,3,0.77,947,0,0
ACC-49E8CB1413,0.00042351424172945465,2,3,0.96,281,0,0
ACC-3F63039D0D,0.0011867408999453528,3,1,0.86,1993,0,0
ACC-5DAE621EB3,0.0006923235218968005,3,2,0.94,1941,0,0
ACC-CFE43AA132,0.0003202928997248872,2,6,0.81,2704,0,0
ACC-63C5769D16,0.0006739697104404124,1,3,0.72,2763,0,0
ACC-F69EFF6313,0.002403188206980301,6,3,0.76,1023,0,0
ACC-27D28B0244,0.0023175850744362207,2,1,0.96,1899,0,0
ACC-B6B4387074,0.0016106773931392692,4,5,0.72,2259,0,0
ACC-64133B7277,0.003001913896600079,4,3,0.75,3091,0,0
ACC-162408A040,0.0012572273543296735,2,2,0.81,245,0,0
ACC-0EF6EF4616,0.00021694446989497894,1,2,0.83,1868,0,0
ACC-546990EA97,0.0009624842628077012,4,2,0.75,2947,0,0
ACC-7065A81A34,0.0010740393632544707,5,3,0.72,3018,0,0
ACC-FAAF574CBF,0.0007078305623464143,2,2,0.75,2064,0,0
ACC-A07F3210D3,0.0006048108439251414,3,0,0.9,2442,0,0
ACC-2D88C0440D,0.0005701414710420939,1,2,0.87,2338,0,0
ACC-8EB3CAD19A,0.0002445998733503334,2,3,0.86,2395,0,0
ACC-DB4F4EEE3B,0.00019154940324857343,0,3,0.78,1291,0,0
ACC-AA7A8B94C0,0.00026464789406896525,1,3,0.7,1300,0,0
ACC-2D4BA286B8,0.0005428555415967306,1,0,0.76,305,0,0
ACC-46ACE32C69,0.0010227735367770896,3,4,0.81,286,0,0
ACC-9A82A8F408,0.000815664047963472,5,4,1.0,1244,0,0
ACC-4B2C067387,0.00029319797989182624,2,3,0.79,3351,0,0
ACC-78508EE723,0.004659761765505572,4,2,0.97,1088,0,0
ACC-39DF57796E,0.0005908359629014736,4,2,0.92,2482,0,0
ACC-9FEDF3D99B,0.0003110356622873879,2,3,0.78,2075,0,0
ACC-586C2C4507,0.0006734078755772438,1,1,0.71,1739,0,0
ACC-FBE8498AA0,0.0004587987439296004,4,3,0.92,1077,0,0
ACC-259A629A07,0.0010527629674417476,6,2,0.98,463,0,0
ACC-12DEBE4D7D,0.0008743882122072917,1,1,0.87,3423,0,0
ACC-C741D6977A,0.0007427953849509823,4,2,0.97,1498,0,0
ACC-9A72BC781A,0.00019154940324857343,0,2,0.97,1453,0,0
ACC-4A9DCACDDC,0.00019154940324857343,0,5,0.99,974,0,0
ACC-2491C47775,0.0003387607830763724,2,6,0.93,739,0,0
ACC-25C9887F3A,0.00048379133595296165,2,2,0.78,3325,0,0
ACC-6082943E35,0.0008323132618403935,5,4,0.77,163,0,0
ACC-6EB684699B,0.002455446849878562,3,1,0.77,3365,0,0
ACC-159EC4E2F6,0.00019154940324857343,0,5,0.99,3545,0,0
ACC-499D1565B6,0.00019154940324857343,0,3,0.8,2788,0,0
ACC-D0AE8D3A4E,0.0008544301116218841,3,2,0.99,736,0,0
ACC-E515F4F75D,0.00045385394368198005,3,1,0.83,1420,0,0
ACC-EDB7761749,0.00025757651801399956,2,3,0.71,783,0,0
ACC-B1F5E6D0A8,0.0006715792906539294,1,5,0.81,2210,0,0
ACC-73A7274BCF,0.0002427136510736576,1,0,0.9,2557,0,0
ACC-8B890E7E9D,0.0014410283657496615,4,6,0.8,1271,0,0
ACC-9D9CEED106,0.0009255256644733955,1,2,0.9,1727,0,0
ACC-DCE8AEC782,0.000603861226153804,2,5,0.95,1668,0,0
ACC-21E3AE70D3,0.0011394635847853801,2,4,0.9,2380,0,0
ACC-2999994AFC,0.00019154940324857343,0,0,0.94,2098,0,0
ACC-C3576ECEFE,0.0014572635042905601,2,1,0.9,1167,0,0
ACC-AA6D5EBBA7,0.002133181015591826,6,1,0.9,3081,0,0
ACC-824E2F1D98,0.001448972009337972,8,2,1.0,194,0,0
ACC-1F0F3CBE01,0.00295108171417843,2,1,0.76,1702,0,0
ACC-24E98BF3A4,0.0009137140144267153,5,2,0.97,609,0,0
ACC-3C0BFA4E3C,0.0005879717878166731,1,1,0.75,1746,0,0
ACC-AC6E983ECA,0.000257429861977277,1,6,0.84,1025,0,0
ACC-BA384602AA,0.00019154940324857343,0,1,0.8,2294,0,0
ACC-20C002644B,0.0002811771842479142,2,6,0.83,2951,0,0
ACC-E5FF32B83D,0.0012081246994317364,5,5,0.84,3051,0,0
ACC-52E3C5EE3A,0.00042131536656740915,2,2,0.85,3141,0,0
ACC-4AC34A3CF5,0.0016660345293333413,5,3,0.78,1175,0,0
ACC-0309D08B25,0.00043987819955927437,2,1,0.81,622,0,0
ACC-C5A4F93DE5,0.00027754835272658543,2,3,0.86,1674,0,0
ACC-7803864F0D,0.0006499226599161749,2,5,0.98,1600,0,0
ACC-C9091D07F2,0.00109158491396749,5,4,0.7,1563,0,0
ACC-87A5064991,0.0006209876406565416,2,0,0.86,3428,0,0
ACC-C2AEE47C4B,0.0005961164162912169,2,2,0.77,908,0,0
ACC-3C019EF409,0.001884593029848875,3,7,0.92,2744,0,0
ACC-9FC0AFB708,0.0015616693469207028,4,6,0.71,2553,0,0
ACC-202632C916,0.0014747907767791563,5,4,0.74,348,0,0
ACC-A1F6C1B59A,0.00027236977134655223,1,1,0.84,1345,0,0
ACC-B314ABEA6F,0.0011999338622599807,2,2,0.78,3085,0,0
ACC-25F4E87B68,0.0002649039433401424,2,7,0.77,218,0,0
ACC-1FAEE737D8,0.0007298778460039055,3,0,0.98,3094,0,0
ACC-0A1B1B5164,0.0002880851202273601,1,5,0.84,982,0,0
ACC-218D531755,0.002659633469563023,5,1,0.93,2870,0,0
ACC-C89F6DD400,0.001914533506901921,6,3,0.93,2947,0,0
ACC-64AB233688,0.001327369203384315,6,3,0.87,110,0,0
ACC-C7640E1436,0.0017980801936527575,8,3,0.72,2933,0,0
ACC-3902FA8D9F,0.0004449711925578583,2,1,0.96,2860,0,0
ACC-40C97E39E2,0.0015304194245849248,4,2,0.8,2323,0,0
ACC-790F45837C,0.001210701380739658,3,1,0.7,2657,0,0
ACC-AA2B7C2290,0.0019130825402851334,3,7,0.91,1488,0,0
ACC-4D95CE3389,0.0006493416179726636,3,2,0.88,2669,0,0
ACC-2E794F15F7,0.00033460377351063786,3,2,0.78,1789,0,0
ACC-DC9B5ECFC2,0.0012370164731981318,4,4,0.77,1147,0,0
ACC-1A158E2B39,0.003082336412646618,7,3,0.85,1382,0,0
ACC-41740025DD,0.0018841388565381523,5,7,0.8,3272,0,0
ACC-01D44AE2F0,0.0005160024945112182,2,4,0.85,2281,0,0
ACC-3254A1CA4E,0.0007609371629598124,3,5,0.93,2006,0,0
ACC-3A9523F661,0.002572567555626393,6,1,0.73,1840,0,0
ACC-90CBA5197E,0.000547227949080002,1,3,0.81,2724,0,0
ACC-1CEC7DB577,0.000937403399612757,5,2,0.8,3060,0,0
ACC-F7241A5691,0.0007597544740610002,1,9,0.92,949,0,0
ACC-BFF43FCEEC,0.0005498140432277938,3,4,0.76,3126,0,0
ACC-F1A6C1EA09,0.0002768704806670934,2,5,0.88,3118,0,0
ACC-75F2FA030F,0.0013050301987416525,5,3,0.79,1483,0,0
ACC-EF4C528854,0.0025438150187135017,4,4,0.79,228,0,0
ACC-1C50ED9C49,0.0006266919046194171,2,1,0.87,425,0,0
ACC-ADDBD37CDA,0.00025975753314929224,2,1,0.98,215,0,0
ACC-D6669E7AAC,0.0016226928855987224,3,6,0.87,2019,0,0
ACC-21D44CE318,0.000993899883550943,5,1,0.73,2310,0,0
ACC-BE9AE46CD4,0.00045742824318338485,1,1,0.94,2488,0,0
ACC-933DCCC0E8,0.0005908932690518711,4,4,0.96,1818,0,0
ACC-839BC026ED,0.001001003898828092,2,0,0.98,2502,0,0
ACC-C37F861391,0.0010338933901089353,3,2,0.77,337,0,0
ACC-8F943FF21B,0.0008581709202420977,5,4,0.84,1850,0,0
ACC-D4A942971A,0.00031933958374994923,3,4,0.72,2884,0,0
ACC-A0826D22AE,0.002670865529976215,7,4,0.9,2565,0,0
ACC-BF52E5A85B,0.0009268038873697051,5,1,0.97,925,0,0
ACC-47E287D902,0.0015611081449959853,4,2,0.88,3251,0,0
ACC-FB8C719E6E,0.0037415412699536668,8,3,0.91,514,0,0
ACC-7F97DE3607,0.0017270280807008802,2,7,0.83,2216,0,0
ACC-1BE237EF1F,0.0021415981983696555,6,2,0.78,1325,0,0
ACC-6E9CCAA402,0.00046893712157397235,3,4,0.88,3529,0,0
ACC-D4B88C7671,0.001008663238015745,4,9,0.71,1108,0,0
ACC-898942215E,0.0007394477023866204,3,0,0.75,1816,0,0
ACC-0633630EE6,0.0029652820525942936,5,6,0.8,378,0,0
ACC-637F34A9D9,0.0009409854306332162,6,3,0.82,663,0,0
ACC-D7879A2627,0.0020704481988492035,4,2,0.71,3337,0,0
ACC-E7014E27E0,0.0038237023722197346,6,3,0.96,3169,0,0
ACC-EDF8AEA14D,0.0009927324095174489,4,1,0.82,2227,0,0
ACC-B2E0AC9287,0.000599229421459806,2,5,0.93,2046,0,0
ACC-97177103D0,0.0005847367708803467,3,5,0.96,1184,0,0
ACC-C35B9127FF,0.0022393089888307596,5,1,0.91,2498,0,0
ACC-C2CBD0C8EC,0.0013120584457858204,4,3,1.0,386,0,0
ACC-D0A2372515,0.0006081079331195133,4,4,0.85,2658,0,0
ACC-AD385E3FB0,0.0008791269611272445,3,2,0.99,1706,0,0
ACC-7B2CEDF0C2,0.0007204996998897737,4,3,0.85,785,0,0
ACC-3E8F3ABF9C,0.0013044062164129125,5,1,0.8,3169,0,0
ACC-B893CD7F4B,0.0012626871483904139,4,6,0.95,1163,0,0
ACC-7302298273,0.001723173552484748,3,7,0.86,613,0,0
ACC-3C9806DF8A,0.0002888276632345575,2,0,0.98,1550,0,0
ACC-66D7D5D3CA,0.0006257376030477484,3,3,0.77,2347,0,0
ACC-7514A16381,0.0003382270837561195,1,6,0.82,1942,0,0
ACC-38E209123A,0.0006670293978242366,2,1,0.99,628,0,0
ACC-3EF22AE255,0.0018708557211368484,5,1,0.96,3567,0,0
ACC-699468409A,0.0004772443145631672,2,3,0.82,67,0,0
ACC-721930AB12,0.0006801502446168506,3,2,0.8,3206,0,0
ACC-DF69D91010,0.0011561353459159226,4,3,0.81,1350,0,0
ACC-130E527A8D,0.0006321654733867798,5,3,0.71,2003,0,0
ACC-2E36E5F8A4,0.0013065021685094648,5,3,0.92,1182,0,0
ACC-296A1F7971,0.0005031760790092513,2,5,0.83,2888,0,0
ACC-CCEA09B822,0.00031209446684165123,1,2,0.79,1333,0,0
ACC-1672980D7E,0.001286331590058632,4,3,0.9,1692,0,0
ACC-38AC7EBCEF,0.0024139888471986105,3,4,0.89,3571,0,0
ACC-9F3F8647A9,0.00026403896731159993,2,2,0.89,956,0,0
ACC-7A16E4EF27,0.00036291584577419976,2,1,0.97,3300,0,0
ACC-DD605CC508,0.0026380328574160286,3,5,0.79,1420,0,0
ACC-11553C3108,0.001264202280026605,7,3,1.0,1242,0,0
ACC-FE98868FCE,0.0016108307510040378,5,3,0.87,2347,0,0
ACC-C4F1C92E12,0.0005202714191238864,3,1,0.78,2701,0,0
ACC-40FD962921,0.001362748918719968,3,3,0.92,205,0,0
ACC-9D9CAA235E,0.0007878933236453918,2,2,0.88,3277,0,0
ACC-62C2B0875E,0.00045406102316924383,2,4,0.89,1031,0,0
ACC-2B11DEC838,0.000276474515675334,1,5,0.71,3235,0,0
ACC-7611E6EE5E,0.0009516984827123498,2,3,0.92,1213,0,0
ACC-814BB3CD63,0.00285432549859001,5,1,0.86,3594,0,0
ACC-F92FBF16A2,0.002620262509090876,5,4,0.99,3382,0,0
ACC-7ADF18BB0F,0.001270605491146073,6,6,0.99,476,0,0
ACC-336CDB3E2E,0.002201760939116513,3,1,0.99,2775,0,0
ACC-28D29824EF,0.0015168728123588588,3,1,0.78,1621,0,0
ACC-1FAB4FE7F5,0.00048059360978194496,1,4,0.88,2758,0,0
ACC-C6FBBC5DC0,0.0014693442002208768,5,2,0.84,2769,0,0
ACC-916753B14F,0.00026480108676245004,1,1,0.89,2503,0,0
ACC-E7FA384148,0.0018247759686236401,4,1,0.74,1242,0,0
ACC-AA2A409CCB,0.0011473396257544904,2,3,0.73,2022,0,0
ACC-6AE4386F7B,0.00019154940324857343,0,0,0.83,1524,0,0
ACC-F0B35E74EA,0.0007770128649311713,4,1,0.95,2687,0,0
ACC-B739AC709B,0.0013197730314830273,4,1,0.77,139,0,0
ACC-D03850541F,0.0004888524244738083,3,6,0.86,411,0,0
ACC-2FFF4B263F,0.0008301233628710561,2,3,0.98,782,0,0
ACC-B0ADCF0EF4,0.0003282595738428581,1,3,0.99,2633,0,0
ACC-2615FB9091,0.001855170714231277,4,4,0.76,520,0,0
ACC-866F9BCA0B,0.0006027934488430383,5,3,0.8,889,0,0
ACC-CBD640205D,0.00019154940324857343,0,4,1.0,1140,0,0
ACC-DD90926B70,0.0014573801084398433,3,6,0.74,2712,0,0
ACC-CCEC58F489,0.000496533251891276,3,4,0.75,1331,0,0
ACC-0EBA265950,0.00019154940324857343,0,2,0.84,470,0,0
ACC-CB4AD17DFE,0.00020769254985857717,1,3,0.77,1856,0,0
ACC-2772396B1A,0.0003878667333031675,2,3,0.79,3556,0,0
ACC-AEE8AC8B42,0.0004748041538222837,1,6,0.83,1966,0,0
ACC-E273084685,0.0007867504577448838,2,4,0.8,306,0,0
ACC-B684F395A0,0.0003812768131387991,2,1,0.86,2598,0,0
ACC-0BE5BCC8A0,0.0003130864302044601,2,3,0.85,1212,0,0
ACC-2B5F825F48,0.0010986235718969902,3,3,0.92,3498,0,0
ACC-BD9438B62E,0.00019154940324857343,0,2,0.95,1699,0,0
ACC-ACDADA8CEB,0.000710433750179855,3,3,0.9,1753,0,0
ACC-F7E5116AF5,0.0003372611251525379,2,2,0.73,1947,0,0
ACC-14300691C9,0.0012165863631625074,6,6,0.94,3031,0,0
ACC-B7823C27D8,0.0034658618812883693,6,7,0.9,2305,0,0
ACC-15113E5F76,0.0020512302642929888,4,2,0.96,3078,0,0
ACC-B8E1238B67,0.000503769128619095,2,1,0.73,1284,0,0
ACC-420FED7829,0.003228839642308879,7,4,0.81,923,0,0
ACC-B79CF1E2E6,0.000488935370593815,2,2,0.94,2356,0,0
ACC-AB3C5011ED,0.0019368349397548025,6,3,0.9,2551,0,0
ACC-0F9E6E857D,0.0008067309467810798,2,4,0.71,3402,0,0
ACC-14BB7A2CD6,0.00047261847527473705,3,6,0.7,1396,0,0
ACC-73C38DBB72,0.0020217105763747083,3,2,0.92,290,0,0
ACC-5D08515DA7,0.002324441555532385,4,3,0.84,1545,0,0
ACC-AABAB59228,0.00028285647070639444,2,3,0.88,3186,0,0
ACC-3B161F37FC,0.002376498769024621,5,3,0.9,2535,0,0
ACC-7B3B8F0BFF,0.00033181353502942227,1,2,0.82,2491,0,0
ACC-1EB891BCE8,0.0009489016287928074,4,6,0.78,1765,0,0
ACC-3CA1139AD6,0.00042462163060391883,2,2,0.77,1268,0,0
ACC-6F896842BF,0.00019154940324857343,0,5,0.93,870,0,0
ACC-927E6074CB,0.0012112590549873804,3,5,0.75,3064,0,0
ACC-0EF9A10310,0.0008754132554487057,1,3,0.72,2293,0,0
ACC-E46609194C,0.0006074377862883381,4,4,0.96,1888,0,0
ACC-1D7B8F9113,0.0006940694680717209,3,3,0.79,2627,0,0
ACC-43F7F1BA86,0.0005584219110689713,3,2,0.84,3287,0,0
ACC-04F3E4D1E4,0.0026387269104133962,3,1,0.77,3464,0,0
ACC-3999FEBF46,0.0019223225951909262,2,4,0.92,3570,0,0
ACC-3535A7CF50,0.00023922421863409375,1,3,0.86,2095,0,0
ACC-DFAA153F85,0.002021633969131226,3,2,0.77,2984,0,0
ACC-A04FEE425F,0.0002683168339270294,1,4,0.75,631,0,0
ACC-5686318150,0.0006919975920721029,2,3,0.83,2314,0,0
ACC-5719E56777,0.0012003514520813317,4,3,0.96,2563,0,0
ACC-CABEA4CE2A,0.0005662647930552598,4,1,0.89,1925,0,0
ACC-55BDA24043,0.00019918406034337148,1,3,0.79,2083,0,0
ACC-CA717E470D,0.00045460830982759154,2,1,0.89,1180,0,0
ACC-782C1DCA3A,0.000455627288058618,2,3,0.87,1579,0,0
ACC-16D5DE4BFB,0.0019217551119042114,6,3,0.9,3322,0,0
ACC-C456B6C5DF,0.0003808648969219476,2,3,0.73,258,0,0
ACC-15A2BC1592,0.0004210020671463774,3,4,0.89,350,0,0
ACC-6D239D0E4C,0.0002072895831850597,1,4,0.86,1804,0,0
ACC-F114605CC3,0.0005910334865816196,2,3,0.93,1591,0,0
ACC-D495744B0B,0.00044871081288121585,2,6,0.72,2656,0,0
ACC-550953772A,0.00046161759635430784,2,2,0.96,1037,0,0
ACC-0E17B2F62E,0.0006014513575041406,3,0,0.99,1437,0,0
ACC-9912037D7A,0.0018213315939706592,2,3,0.79,2908,0,0
ACC-4CC2D08CE6,0.00032336642646231084,2,3,0.73,528,0,0
ACC-24278E82A3,0.000638988270367629,4,5,0.75,1490,0,0
ACC-9ACE70AC5F,0.0005180308791663444,3,5,1.0,791,0,0
ACC-01947BC03F,0.001252848432958662,3,2,0.93,419,0,0
ACC-3CDEE78BB2,0.0015670520542389371,4,5,0.96,2716,0,0
ACC-0060D2042A,0.00020644119855860388,1,3,0.95,669,0,0
ACC-F37C68CD36,0.0015407135170946273,3,4,0.71,2958,0,0
ACC-7EDF6E2936,0.0007425192953009076,1,2,0.79,1824,0,0
ACC-BB43C19BEE,0.0007080579723159533,3,2,0.99,984,0,0
ACC-4D424AD3CE,0.00019154940324857343,0,5,1.0,1511,0,0
ACC-43F0764A9E,0.0018847917736252925,3,8,0.83,2064,0,0
ACC-A65178755C,0.0003001136460714833,1,5,0.72,571,0,0
ACC-B7766CF1A1,0.0013347726087632066,4,2,0.96,425,0,0
ACC-A26ED4E77D,0.0005799965170651135,2,2,0.74,1845,0,0
ACC-134110EB77,0.0024158687378241445,6,1,0.97,3350,0,0
ACC-18C29B6F29,0.003921863838345041,5,4,0.77,2061,0,0
ACC-38251481D0,0.0014718411232104967,4,2,0.94,410,0,0
ACC-C7F0E00F88,0.0015326176352149807,3,0,0.93,1940,0,0
ACC-5337FB769D,0.00019154940324857343,0,1,0.78,329,0,0
ACC-016ED7C075,0.001097939888712736,7,3,0.83,2498,0,0
ACC-26BB62B633,0.0006038959069132455,3,5,0.83,200,0,0
ACC-FE620C98BD,0.0010914693394417079,3,4,0.88,3432,0,0
ACC-67B3AE715B,0.0016382014053955055,4,2,0.79,2948,0,0
ACC-DBB3368EEA,0.00032064122951623515,3,1,0.9,1711,0,0
ACC-892865ECA5,0.00065184872426392,1,2,0.85,2159,0,0
ACC-4FE08D8EDF,0.0018157311015811245,5,1,0.89,1930,0,0
ACC-6364A8BD24,0.0014596750807741754,5,5,0.8,3234,0,0
ACC-043CCDBDE9,0.00019154940324857343,0,0,0.74,2388,0,0
ACC-6A47CE5A9F,0.00048098604022702167,3,1,0.99,722,0,0
ACC-7D818E469A,0.0005783120124502027,1,1,0.71,263,0,0
ACC-3DA9871BED,0.001269656279524878,3,0,0.98,176,0,0
ACC-A27D9889F7,0.00408976875922509,5,4,0.71,1944,0,0
ACC-62B369F1B3,0.0030949948096674414,4,4,0.96,3203,0,0
ACC-2C977634DF,0.0002887224163703365,1,6,0.92,1794,0,0
ACC-D7608B7F05,0.0007986437563160741,4,0,0.91,770,0,0
ACC-C963CD9027,0.0004969158784245169,3,4,0.92,3286,0,0
ACC-C21DAC488E,0.00019154940324857343,0,3,0.79,744,0,0
ACC-DFAADBE8F3,0.00019154940324857343,0,2,0.88,1260,0,0
ACC-F92E70E3C1,0.0016655673275615252,3,2,0.92,1836,0,0
ACC-70C525537E,0.00040712240371850014,2,1,0.72,1129,0,0
ACC-26A4FE84BC,0.0015428015609642452,2,2,0.99,3076,0,0
ACC-4D79601CD5,0.0004732252706977336,4,8,0.74,1799,0,0
ACC-2F8D0B5A25,0.0021553365872707814,5,4,0.71,1573,0,0
ACC-7ACEB00C1E,0.001342615708505249,4,2,0.93,1528,0,0
ACC-5A1EE3F0E9,0.0011395687365199163,5,3,0.77,1292,0,0
ACC-8BDC85DDB6,0.0008138270508281305,5,3,0.97,2125,0,0
ACC-55211DCBA3,0.00024068563626646224,2,2,1.0,1832,0,0
ACC-707D020FFD,0.0005288725840718912,4,3,0.74,824,0,0
ACC-C01D8EE4E1,0.0006544921947016229,4,1,0.94,1828,0,0
ACC-C61EBC8EFC,0.00019154940324857343,0,4,0.86,2911,0,0
ACC-FB262F231A,0.0007655061182150924,4,3,0.94,2920,0,0
ACC-39C9248263,0.001365795888264848,5,4,0.77,3249,0,0
ACC-2690ED0E5C,0.00034434930980117265,1,2,0.94,1516,0,0
ACC-BD4A668900,0.0004834544908072805,2,2,0.82,274,0,0
ACC-F7B774FDC5,0.001364398214563154,4,3,0.95,3155,0,0
ACC-BC27322374,0.0009110219625942241,4,4,0.84,308,0,0
ACC-A8A2646A94,0.0008968488114074507,5,1,0.89,3200,0,0
ACC-C2DC9694BC,0.002545375392695829,5,1,0.95,2064,0,0
ACC-6AC42DA33C,0.0009045736876053154,3,2,0.8,1326,0,0
ACC-4E192E264E,0.0009707965240936088,3,1,0.89,1031,0,0
ACC-8D2B37E15B,0.0013242265458096082,4,3,0.73,2521,0,0
ACC-7FB138125E,0.0011080451255922378,3,2,0.9,636,0,0
ACC-4DEC6547E5,0.0013270396356145928,4,6,0.95,2313,0,0
ACC-FCAC3A896F,0.00028493348967234766,2,5,0.78,3163,0,0
ACC-5FFB73CA57,0.0007381156498261974,4,0,0.85,2622,0,0
ACC-78063956AD,0.0009506952656404287,3,4,0.77,1242,0,0
ACC-744D8EC3A9,0.0023659884172546356,7,4,0.75,303,0,0
ACC-A85ACB75BF,0.0016879760611783054,6,2,0.79,2489,0,0
ACC-D776A0BE4C,0.000627136298482823,3,2,0.74,1419,0,0
ACC-58E2280A96,0.0025400043110685813,5,2,0.74,995,0,0
ACC-A2FBAF3CC0,0.00019154940324857343,0,4,0.96,1193,0,0
ACC-67E6A14EEA,0.0003243844054381218,3,3,0.98,659,0,0
ACC-0CC0CED010,0.0002275934579252519,1,3,0.84,2045,0,0
ACC-A6FBC3240E,0.0008540421421636505,4,1,0.84,1615,0,0
ACC-76B304AAAA,0.0014248268472497163,4,0,0.85,212,0,0
ACC-C06C86F552,0.002910694958615024,5,4,0.7,1175,0,0
ACC-F185D565E6,0.0014384553644107214,3,3,0.93,2984,0,0
ACC-B2942B83FB,0.00019154940324857343,0,3,0.81,2306,0,0
ACC-27BAF0D834,0.0009455340702959178,7,3,0.78,3135,0,0
ACC-99EE9C11B6,0.0011904636108330158,3,2,0.81,401,0,0
ACC-0A5EE1B113,0.0012156899106500036,6,5,0.88,595,0,0
ACC-C4BFC0E03A,0.00019154940324857343,0,7,0.94,566,0,0
ACC-14622DF05B,0.0008043761931996224,4,1,0.8,2116,0,0
ACC-4CDAB72A3B,0.0014869494922346875,5,6,0.88,2530,0,0
ACC-94CA2362BA,0.00019154940324857343,0,6,0.79,2907,0,0
ACC-FD09B22B95,0.000876065683843094,4,1,0.88,453,0,0
ACC-3552A8B7B0,0.002062770396930651,5,2,0.88,2582,0,0
ACC-A34D67F943,0.002194725351756054,5,4,0.87,3184,0,0
ACC-9A5DA012CF,0.0009791795214776826,3,1,0.93,2152,0,0
ACC-70566D979F,0.00019154940324857343,0,1,0.98,134,0,0
ACC-EDE54FCC92,0.00029500615277092883,1,5,0.82,1720,0,0
ACC-767782128C,0.0013939021505632251,5,2,0.91,1936,0,0
ACC-62B41A2151,0.0005335730525486197,2,2,0.86,2717,0,0
ACC-1CCF766288,0.0015309102700534834,3,2,0.86,2188,0,0
ACC-37B3A93D4F,0.0022152715479338285,4,3,0.88,2639,0,0
ACC-BE6BD33BB9,0.002079994861362232,5,1,0.98,1227,0,0
ACC-F8EA76CDC7,0.0010702078611973167,4,2,0.8,2832,0,0
ACC-CAEEF3E77C,0.00019154940324857343,0,4,0.79,2960,0,0
ACC-5A59EEED82,0.0006435467717947082,1,5,0.99,1621,0,0
ACC-7E47E73A36,0.00021762146465872115,1,6,0.8,2930,0,0
ACC-FA10BE1FA4,0.003345030213732964,4,5,0.95,881,0,0
ACC-E002377908,0.00044030528811779914,2,3,0.88,567,0,0
ACC-CEEC7AB2F4,0.0005041726667218213,2,4,0.89,2180,0,0
ACC-6BA07DAEE0,0.0019310329619097366,5,0,0.9,1939,0,0
ACC-BC8F7A397C,0.000825944047671193,3,2,0.9,651,0,0
ACC-0735508F97,0.000986730588160121,4,4,0.8,821,0,0
ACC-7B3104B541,0.0011152731634943964,2,3,0.77,2676,0,0
ACC-F957DD43AC,0.002327607004381948,9,4,0.96,722,0,0
ACC-05DF6021DB,0.0007824199236496437,5,4,0.94,3430,0,0
ACC-02C0759379,0.003409760441180604,2,2,0.7,1190,0,0
ACC-564DDDA45C,0.0010437092413954465,5,5,0.84,1377,0,0
ACC-62E67F6055,0.002199110149169306,5,2,0.84,554,0,0
ACC-AECA8D84BB,0.00024606883657066566,1,6,0.89,2999,0,0
