complaint_id,ring_id,victim_account,victim_city,fraud_type,reported_loss,filed_at,fraud_start_at
NCRP-100032,32,ACC-A5CF45FF56,Lucknow,OTP/phishing fraud,294674.31,2026-05-07T19:16:01,2026-05-07T09:16:01
NCRP-100033,33,ACC-3199BB0997,Nagpur,Job/task fraud,399718.31,2026-05-08T08:26:19,2026-05-07T23:26:19
NCRP-100034,34,ACC-74CC15D38C,Chennai,Loan app fraud,328022.32,2026-04-15T01:52:58,2026-04-14T00:52:58
NCRP-100035,35,ACC-C7FD32D540,Bhopal,Job/task fraud,69664.15,2026-03-23T21:49:15,2026-03-23T13:49:15
NCRP-100036,36,ACC-E00F236079,Mumbai,Loan app fraud,391536.05,2026-02-22T21:29:18,2026-02-22T19:29:18
NCRP-100037,37,ACC-7F281E7B1E,Ranchi,Digital arrest scam,46467.96,2026-06-02T02:32:18,2026-05-31T10:32:18
NCRP-100038,38,ACC-8DF931DB06,Kolkata,Loan app fraud,55950.97,2026-04-07T19:47:43,2026-04-06T13:47:43
NCRP-100039,39,ACC-41DF045C2F,Delhi,Job/task fraud,221398.32,2026-02-02T01:55:42,2026-01-31T22:55:42
NCRP-100040,40,ACC-FFA69A067D,Lucknow,KYC update fraud,290704.33,2026-07-03T02:05:53,2026-07-01T12:05:53
NCRP-100041,41,ACC-093CA3BFA9,Kolkata,Investment fraud,98698.89,2026-02-25T15:51:17,2026-02-24T04:51:17
NCRP-100042,42,ACC-42DCA3D634,Jaipur,Investment fraud,365589.67,2026-03-16T06:48:33,2026-03-15T08:48:33
NCRP-100043,43,ACC-DCF9D1EA86,Mumbai,KYC update fraud,274291.71,2026-08-24T14:38:55,2026-08-23T20:38:55
NCRP-100044,44,ACC-8594364250,Chennai,Job/task fraud,424887.05,2026-06-04T13:25:26,2026-06-03T11:25:26
NCRP-100045,45,ACC-7E21A52D9D,Jalandhar,Loan app fraud,404735.96,2026-04-12T08:10:58,2026-04-11T11:10:58
NCRP-100046,46,ACC-41D09169E3,Mumbai,Investment fraud,393910.86,2026-05-21T20:42:35,2026-05-21T07:42:35
NCRP-100047,47,ACC-2200B2EA2D,Delhi,Job/task fraud,231365.95,2026-05-29T19:36:16,2026-05-29T01:36:16
NCRP-100048,48,ACC-05DBDADE96,Patna,OTP/phishing fraud,163169.0,2026-03-06T15:24:21,2026-03-05T22:24:21
NCRP-100049,49,ACC-8BE63AE450,Jaipur,KYC update fraud,309269.15,2026-02-13T11:21:26,2026-02-13T06:21:26
NCRP-100050,50,ACC-BCAF3A9CC3,Hyderabad,Loan app fraud,275265.97,2026-05-07T15:13:00,2026-05-07T05:13:00
NCRP-100051,51,ACC-FA511CA3AF,Guwahati,Job/task fraud,261342.74,2026-08-16T18:57:10,2026-08-16T16:57:10
NCRP-100052,52,ACC-765B8516B0,Kolkata,OTP/phishing fraud,420121.02,2026-01-06T14:25:46,2026-01-05T08:25:46
NCRP-100053,53,ACC-12489997CB,Nagpur,Loan app fraud,29857.91,2026-06-20T22:07:14,2026-06-19T22:07:14
NCRP-100054,54,ACC-03E8EB7170,Patna,Job/task fraud,414304.14,2026-01-10T08:51:28,2026-01-10T01:51:28
NCRP-100055,55,ACC-1CBF0798E0,Ahmedabad,KYC update fraud,50156.68,2026-01-03T05:54:02,2026-01-02T02:54:02
NCRP-100056,56,ACC-94AED875E6,Nagpur,Job/task fraud,182137.68,2026-08-08T13:29:27,2026-08-07T10:29:27
NCRP-100057,57,ACC-DB2F9E2024,Jaipur,Job/task fraud,272020.75,2026-07-21T00:04:32,2026-07-19T21:04:32
NCRP-100058,58,ACC-D83FBAC7BC,Bhopal,Loan app fraud,498438.98,2026-04-08T20:56:48,2026-04-08T14:56:48
NCRP-100059,59,ACC-3460293056,Jalandhar,Loan app fraud,358524.04,2026-06-23T20:25:36,2026-06-22T21:25:36
