ring_id,cashout_account,cashout_txn,cashout_city,cashout_latitude,cashout_longitude,cashout_timestamp,hops_from_victim,amount_withdrawn
16,ACC-35F3C2935C,TXN-4F04A2FD83,Nagpur,21.10188,79.08614,2026-02-22T18:33:00,5,193954.42
17,ACC-1BA73E9187,TXN-EA5BE18A8B,Delhi,28.51007,77.15603,2026-05-22T04:24:57,4,122496.11
18,ACC-1D867389D0,TXN-7FE0C62F53,Nagpur,21.18411,79.15833,2026-05-27T11:21:11,4,210415.33
19,ACC-9361056F3B,TXN-1CAF0DFFD6,Hyderabad,17.51498,78.57535,2026-08-11T08:39:09,5,138633.33
20,ACC-E915AC027C,TXN-0C071B1EFA,Ranchi,23.22589,85.18937,2026-02-07T06:16:31,5,217845.96
21,ACC-AD26E7D261,TXN-81DB2C7A23,Lucknow,26.81717,80.82679,2026-04-25T11:58:48,3,220312.19
22,ACC-9680B2CBA7,TXN-DD11250EDA,Guwahati,26.25995,91.72654,2026-03-05T02:12:57,3,165939.17
23,ACC-5D6F992C68,TXN-F3E231EE3F,Jaipur,26.84783,75.90367,2026-05-28T01:23:52,5,48060.99
24,ACC-EB9FD08C95,TXN-FEDEA05C86,Hyderabad,17.46814,78.58402,2026-07-20T18:42:49,3,61288.1
25,ACC-BBCF3F199C,TXN-B87C025563,Lucknow,26.95008,80.90234,2026-01-07T04:30:44,5,222936.08
26,ACC-3C46325D40,TXN-0A3647A2CB,Guwahati,26.15319,91.78527,2026-04-03T12:01:37,4,241098.22
27,ACC-A279B0295C,TXN-D554F72618,Jalandhar,31.41527,75.50112,2026-01-13T13:09:51,3,288374.65
28,ACC-1F433E7104,TXN-3A92AF4C0D,Mumbai,19.1675,72.79937,2026-03-12T19:37:05,6,171412.65
29,ACC-809F5F54A0,TXN-2B45FCB8FA,Bengaluru,13.06212,77.66427,2026-04-04T02:59:28,3,266022.88
30,ACC-73B19E5B94,TXN-F67FEF7588,Bhopal,23.21054,77.33377,2026-08-16T15:45:23,5,105928.15
31,ACC-AC82627E19,TXN-99FF18D4F0,Mumbai,19.05006,72.93342,2026-08-17T19:06:23,6,169664.63
32,ACC-3946AA0C99,TXN-11303972A5,Jalandhar,31.3877,75.69128,2026-05-07T22:09:01,3,57814.59
33,ACC-C908053354,TXN-3D0F82C0C3,Bhopal,23.21311,77.43411,2026-05-09T17:19:19,6,100429.92
34,ACC-B8F3B7545C,TXN-63EC4E3781,Chennai,13.1969,80.34917,2026-04-15T00:55:58,3,267844.99
35,ACC-D4F98CD811,TXN-D4F85C1F7A,Bhopal,23.156,77.32001,2026-03-24T08:55:15,4,220125.32
36,ACC-E953A2164A,TXN-A77AA324C9,Mumbai,19.13978,72.7429,2026-02-24T01:33:18,6,168741.88
37,ACC-30DDB92A79,TXN-74CF8CEE35,Delhi,28.51247,77.24039,2026-06-01T04:14:18,5,51072.84
38,ACC-4A563C5989,TXN-660BA15061,Kolkata,22.6186,88.34978,2026-04-07T18:04:43,4,67266.4
39,ACC-7EFBC92111,TXN-02CB895CB0,Bengaluru,12.97825,77.68398,2026-02-02T02:02:42,5,264807.31
40,ACC-B744DCB2FA,TXN-7EF74FAF30,Nagpur,21.05774,79.04018,2026-07-03T14:24:53,6,36008.0
41,ACC-069B3A3BD4,TXN-FDC40987C0,Lucknow,26.85263,81.01037,2026-02-25T21:44:17,6,12419.92
42,ACC-ABECAB0216,TXN-2495EB0EE7,Ranchi,23.22086,85.4176,2026-03-16T07:00:33,4,134410.65
43,ACC-EE2901F4AE,TXN-F0A34AB8D8,Mumbai,19.00658,72.91292,2026-08-24T06:52:55,3,238964.06
44,ACC-25FAF3BD6F,TXN-08D88438B1,Mumbai,19.10743,72.85849,2026-06-04T06:28:26,5,113233.21
45,ACC-E55FAB627A,TXN-588FBDA65F,Jalandhar,31.33939,75.52529,2026-04-12T04:17:58,4,184119.86
46,ACC-2D1483CB34,TXN-F6712CE43F,Guwahati,26.10123,91.84227,2026-05-22T20:26:35,6,59599.94
47,ACC-E2DD8D3C63,TXN-4A284C8CE2,Guwahati,26.27737,91.63562,2026-05-30T02:02:16,6,118732.0
48,ACC-E57EC7AEAC,TXN-47B637E1BC,Kolkata,22.62523,88.29162,2026-03-06T18:49:21,3,23361.91
49,ACC-EC88A847BE,TXN-5BD13ABAFA,Nagpur,21.16069,79.05563,2026-02-14T00:06:26,3,59268.26
50,ACC-729F29A542,TXN-1A75949B58,Hyderabad,17.37827,78.51901,2026-05-08T02:45:00,4,166185.78
51,ACC-6C727BB692,TXN-C8E01AF8A9,Hyderabad,17.29736,78.35214,2026-08-17T21:03:10,6,109657.62
52,ACC-DA6FF5C42D,TXN-D7793EAE11,Jaipur,26.88772,75.91769,2026-01-06T00:32:46,3,200630.82
53,ACC-A2A739C398,TXN-FBD582EF02,Nagpur,21.15122,79.12476,2026-06-21T08:36:14,6,199198.33
54,ACC-D9E64A9527,TXN-4195A9BA6D,Ahmedabad,22.90749,72.4507,2026-01-11T20:54:28,6,139751.79
55,ACC-952A6FE476,TXN-8CAB5387E7,Chennai,13.20306,80.35633,2026-01-02T20:29:02,4,184726.85
56,ACC-5B8AF7CF9C,TXN-8B983661A1,Nagpur,21.07202,79.12762,2026-08-08T19:07:27,5,176300.62
57,ACC-96CAA18692,TXN-BD05AE22C8,Bhopal,23.33846,77.37475,2026-07-20T04:03:32,3,249693.32
58,ACC-E9177BF6B2,TXN-C87BB6A22D,Bhopal,23.21248,77.28895,2026-04-09T05:16:48,4,265802.16
59,ACC-B1994A5730,TXN-120EF05773,Jaipur,26.78911,75.87777,2026-06-23T15:03:36,5,148229.15
